
2026-01-17 17:01:52.741 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-11", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-11", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.741335+00:00", "ttl": 30, "type": "message", "x": 640, "y": 165}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.741335+00:00", "ttl": 30, "type": "message", "x": 640, "y": 165}
2026-01-17 17:01:52.741 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-12", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-12", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.741605+00:00", "ttl": 30, "type": "message", "x": 640, "y": 179}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.741605+00:00", "ttl": 30, "type": "message", "x": 640, "y": 179}
2026-01-17 17:01:52.742 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-13", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-13", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.742323+00:00", "ttl": 30, "type": "message", "x": 640, "y": 193}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.742323+00:00", "ttl": 30, "type": "message", "x": 640, "y": 193}
2026-01-17 17:01:52.742 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-14", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-14", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.742701+00:00", "ttl": 30, "type": "message", "x": 640, "y": 207}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.742701+00:00", "ttl": 30, "type": "message", "x": 640, "y": 207}
2026-01-17 17:01:52.742 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-15", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-15", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.742903+00:00", "ttl": 30, "type": "message", "x": 640, "y": 221}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.742903+00:00", "ttl": 30, "type": "message", "x": 640, "y": 221}
2026-01-17 17:01:52.743 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-16", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-16", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.743081+00:00", "ttl": 30, "type": "message", "x": 640, "y": 235}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.743081+00:00", "ttl": 30, "type": "message", "x": 640, "y": 235}
2026-01-17 17:01:52.743 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-17", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-17", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.743246+00:00", "ttl": 30, "type": "message", "x": 640, "y": 249}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.743246+00:00", "ttl": 30, "type": "message", "x": 640, "y": 249}
2026-01-17 17:01:52.743 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-18", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-18", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.743580+00:00", "ttl": 30, "type": "message", "x": 640, "y": 263}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.743580+00:00", "ttl": 30, "type": "message", "x": 640, "y": 263}
2026-01-17 17:01:52.744 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-19", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-19", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.744276+00:00", "ttl": 30, "type": "message", "x": 640, "y": 277}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.744276+00:00", "ttl": 30, "type": "message", "x": 640, "y": 277}
2026-01-17 17:01:52.744 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-20", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-20", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.744740+00:00", "ttl": 30, "type": "message", "x": 640, "y": 291}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.744740+00:00", "ttl": 30, "type": "message", "x": 640, "y": 291}
2026-01-17 17:01:52.744 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-21", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-21", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.744909+00:00", "ttl": 30, "type": "message", "x": 640, "y": 305}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.744909+00:00", "ttl": 30, "type": "message", "x": 640, "y": 305}
2026-01-17 17:01:52.745 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-22", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-22", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.745057+00:00", "ttl": 30, "type": "message", "x": 640, "y": 319}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.745057+00:00", "ttl": 30, "type": "message", "x": 640, "y": 319}
2026-01-17 17:01:52.745 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-23", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-23", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.745198+00:00", "ttl": 30, "type": "message", "x": 640, "y": 333}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.745198+00:00", "ttl": 30, "type": "message", "x": 640, "y": 333}
2026-01-17 17:01:52.745 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-24", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-24", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.745348+00:00", "ttl": 30, "type": "message", "x": 640, "y": 347}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.745348+00:00", "ttl": 30, "type": "message", "x": 640, "y": 347}
2026-01-17 17:01:52.745 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-25", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-25", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.745786+00:00", "ttl": 30, "type": "message", "x": 640, "y": 361}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.745786+00:00", "ttl": 30, "type": "message", "x": 640, "y": 361}
2026-01-17 17:01:52.746 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-26", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-26", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.746145+00:00", "ttl": 30, "type": "message", "x": 640, "y": 375}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.746145+00:00", "ttl": 30, "type": "message", "x": 640, "y": 375}
2026-01-17 17:01:52.746 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-27", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-27", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.746640+00:00", "ttl": 30, "type": "message", "x": 640, "y": 389}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.746640+00:00", "ttl": 30, "type": "message", "x": 640, "y": 389}
2026-01-17 17:01:52.746 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-28", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-28", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.746849+00:00", "ttl": 30, "type": "message", "x": 640, "y": 403}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.746849+00:00", "ttl": 30, "type": "message", "x": 640, "y": 403}
2026-01-17 17:01:52.747 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-29", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-29", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.746992+00:00", "ttl": 30, "type": "message", "x": 640, "y": 417}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.746992+00:00", "ttl": 30, "type": "message", "x": 640, "y": 417}
2026-01-17 17:01:52.747 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-30", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-30", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.747223+00:00", "ttl": 30, "type": "message", "x": 640, "y": 431}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.747223+00:00", "ttl": 30, "type": "message", "x": 640, "y": 431}

